	(Synthesis).ksynth	(transport cytoplasm_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb0).ktr	(transport dnabound_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport cytoplasm_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa0_pUb1).ktr	(transport dnabound_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport cytoplasm_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb0).ktr	(transport dnabound_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport cytoplasm_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa1_pUb1).ktr	(transport dnabound_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb1 by SCF).kub	(degradation of cytoplasm_Foxo1_Pa0_pUb1).kdeg	(degradation of cytoplasm_Foxo1_Pa1_pUb1).kdeg	(transcription of inr by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb1).ktranscr	(basal transcription of inr).v	(export of inr RNA).kexp	(cyto degr of inr RNA).k1	(translation of inr).ktransl	(degradation of Inr protein).k1	(basal transcription of sod2).v	(export of sod2 RNA).kexp	(cyto degr of sod2 RNA).k1	(translation of sod2).ktransl	(degradation of Sod2 protein).k1
[cytoplasm_Foxo1_Pa1_pUb0]	0.754743	-0.0589254	0.00179774	-0.0142006	0.005688	-0.00136514	2.60083e-05	-0.000232382	-0.00103285	-0.0586758	0.113006	-0.0506327	0.0577544	-0.000114457	8.86102e-05	-0.000204798	-0.000230992	0.0716186	0.0131461	-0.00464772	6.4579e-05	4.16776e-05	-0.00163045	0	0	0	0	0	0	-0.0737803	-0.00913415	0.00452952	0.000183498	-2.23348e-05	6.36599e-05	-0.0362922	-0.00346089	-0.00212934	-1.11479	-0.0702549	-0.0802105	0.000128983	-0.00031841	6.14936e-05	6.14938e-05	-0.000756131	-0.000756131	-0.000778124	-0.000778124	-0.00013308	-0.00013308	0.000422396	-0.000181105	0.000422396	0.00019505	0.000280676	0.000422396	-0.000181105	0.000422396	0.00019505	0.000280676
[cytoplasm_Foxo1_Pa1_pUb1]	0.747153	0.000984814	2.84772e-05	-0.000179666	5.15357e-05	0.00194308	-0.000109194	-8.60255e-05	-0.00112982	0.000536111	-0.000794425	-0.000509623	-0.000166956	0.000268944	-0.000937571	0.000284043	-0.00111639	-0.0153118	-0.00178796	-0.00117228	0.0821727	-2.39104e-05	-0.00168154	0	0	0	0	0	0	0.0157962	0.000862522	0.00117611	-0.0859699	2.82397e-05	6.93749e-05	-0.00931172	-0.000792794	-1.81541e-06	-0.26579	-0.0166991	-0.0193975	-0.0859162	-0.91909	6.49095e-05	6.49095e-05	-0.000778695	-0.000778695	-0.000796761	-0.000796761	-0.000135303	-0.000135303	0.000436868	-0.000188982	0.000436868	0.00020142	0.000291151	0.000436868	-0.000188982	0.000436868	0.00020142	0.000291151
[cytoplasm_RNA_Inr]	0.468273	0.276265	-0.00814162	0.124462	-0.0500184	0.00912398	-0.000362339	0.00528268	-0.00421369	0.249889	-0.480233	0.43493	-0.502883	0.00919154	-0.0245027	0.0207034	-0.036505	-0.26868	-0.11592	-0.0050595	-0.00809813	-0.00502803	-0.00120846	0	0	0	0	0	0	0.276869	0.0774441	0.00490829	0.00866232	0.00369657	0.00018574	-0.0222462	-0.00211808	-0.00127914	-0.682793	-0.0430272	-0.0491402	-0.00178755	-0.0181066	0.0554009	4.02889e-05	0.00317098	-0.000489872	0.532545	-0.000499011	0.0359164	-8.64611e-05	0.372207	-0.00178523	-0.99879	0.000127131	0.00018309	0.000275387	-0.000118947	0.000275387	0.000127131	0.00018309
[cytoplasm_Inr]	0.290511	0.315843	-0.00938319	0.143269	-0.057437	0.0128048	-0.00043564	0.00647715	-0.0029922	0.286182	-0.550012	0.500167	-0.576332	0.0107422	-0.0281469	0.0240665	-0.041267	-0.296158	-0.131419	-0.00486727	-0.00936992	-0.00579834	0.00144875	0	0	0	0	0	0	0.305061	0.0883631	0.00466307	0.00957795	0.00428129	0.000104828	-0.018444	-0.00182247	-0.00201856	-0.574303	-0.0361347	-0.0402723	-0.00225515	-0.0200908	0.0634444	-5.68057e-05	0.00497317	0.000782591	0.612201	0.000804279	0.041377	0.000164802	0.279334	-0.00076914	-0.999405	0.999855	-0.803983	-0.000366151	0.000212826	-0.000366151	-0.000145315	-0.000247502
[cytoplasm_RNA_Sod2]	0.468273	0.276265	-0.00814162	0.124462	-0.0500184	0.00912398	-0.000362339	0.00528268	-0.00421369	0.249889	-0.480233	0.43493	-0.502883	0.00919154	-0.0245027	0.0207034	-0.036505	-0.26868	-0.11592	-0.0050595	-0.00809813	-0.00502803	-0.00120846	0	0	0	0	0	0	0.276869	0.0774441	0.00490829	0.00866232	0.00369657	0.00018574	-0.0222462	-0.00211808	-0.00127914	-0.682793	-0.0430272	-0.0491402	-0.00178755	-0.0181066	4.0289e-05	0.0554009	-0.000489872	0.00317098	-0.000499011	0.532545	-8.64611e-05	0.0359164	0.000275387	-0.000118947	0.000275387	0.000127131	0.00018309	0.372207	-0.00178523	-0.99879	0.000127131	0.00018309
[cytoplasm_Sod2]	0.290511	0.315843	-0.00938319	0.143269	-0.057437	0.0128048	-0.00043564	0.00647715	-0.0029922	0.286182	-0.550012	0.500167	-0.576332	0.0107422	-0.0281469	0.0240665	-0.041267	-0.296158	-0.131419	-0.00486727	-0.00936992	-0.00579834	0.00144875	0	0	0	0	0	0	0.305061	0.0883631	0.00466307	0.00957795	0.00428129	0.000104828	-0.018444	-0.00182247	-0.00201856	-0.574303	-0.0361347	-0.0402723	-0.00225515	-0.0200908	-5.68057e-05	0.0634444	0.000782591	0.00497317	0.000804279	0.612201	0.000164802	0.041377	-0.000366151	0.000212826	-0.000366151	-0.000145315	-0.000247502	0.279334	-0.00076914	-0.999405	0.999855	-0.803983
[E2F1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Akt]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[SGK]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[CDK2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[AMPK]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[IKKb]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[JNK]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[PP2A]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[CBPP300]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[SIRT1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[E3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[USP7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[SCF]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Proteasome]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[nucleus_Foxo1_Pa0_pUb0]	0.753849	0.5877	-0.0173393	-0.0566666	0.0227461	-0.00133707	2.62696e-05	-0.000233528	-0.00103733	0.272255	-0.523126	-0.039299	0.0446494	-0.000114873	8.88714e-05	-0.000205501	-0.000231772	-0.574497	-0.924231	-0.0216325	6.48145e-05	4.13767e-05	-0.00163639	0	0	0	0	0	0	0.591979	0.618813	0.0208971	0.000184168	-2.2494e-05	6.38935e-05	-0.0362985	-0.00380927	-0.00227056	-1.11097	-0.073484	-0.0842594	0.000129456	-0.000319444	6.17263e-05	6.17263e-05	-0.000762091	-0.000762091	-0.000778852	-0.000778852	-0.000133564	-0.000133564	0.000423937	-0.000181854	0.000423937	0.000195762	0.0002817	0.000423937	-0.000181854	0.000423937	0.000195762	0.0002817
