Entity,Qualifier,Preferred Ontologies,Value,Comment
model,hasProperty,OBCS: Ontology of Biological and Clinical Statistics,http://purl.obolibrary.org/obo/OBCS_0000058,sensitivity
model,hasProperty,OBCS: Ontology of Biological and Clinical Statistics,http://purl.obolibrary.org/obo/OBCS_0000059,specificity
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C125201,Overall Survival
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004920,progression free survival
model,hasProperty,DICOM Controlled Terminology,http://dicom.nema.org/resources/ontology/DCM/112022,Response Evaluation Criteria In Solid Tumors (RECIST)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C19020,Receiver Operator Characteristics
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000549,random forest procedure
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000416,precision
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C68814,Nivolumab
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C106432,Pembrolizumab
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C106250,Atezolizumab
model,hasProperty,Software Ontology (SWO),http://www.ebi.ac.uk/swo/SWO_0000118,Python
model,hasProperty,GitHub repository,https://github.com/scikit-learn,Scikit-Learn
model,isDescribedBy,PMID,34725502,
model,isDescribedBy,GitHub repository,https://github.com/CCF-ChanLab/MSK-IMPACT-IO,
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004600,genomic data
model,hasInput,ERO: eagle-i resource ontology ,http://purl.obolibrary.org/obo/ERO_0100354,molecular data
model,hasInput,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C142508,Demographic Data
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0030083,clinical data
model,hasDataset,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41587-021-01070-8/MediaObjects/41587_2021_1070_MOESM3_ESM.xlsx,
model,hasOutput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0600023,Prediction of Immune Checkpoint Blockade (ICB) response for a patient.
,,,,
